product_name,menu_show,unit_type,species_id,unit_product_value,default_length,default_quantity,unit_boardfeet,unit_inv_value
IS CMat12 8x10,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat12 8x8,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat14 10x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat14 12x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat14 6x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat14 6x8,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat14 8x10,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat14 8x8,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat16 6x8,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat16 8x8,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat18 10x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat18 12x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat18 6x8,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat18 8x10,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat18 8x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat20 12x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat20 14x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat20 16x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat20 18x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat24 10x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat24 12x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat24 14x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS CMat24 8x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
IS Ties12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
Premat,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
Ties9 7x9,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
VD CMat14 6x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
"VD Crane Mat 20'x4'x12"" FN",False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
VD Crossties9 7x9,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
VD IS CMat24 12x12,False,LEGACY_IMPORT,,0.0,0.0,0.0,0.0,0.0
